,entry_date,transaction_time,customer_id,age_code,residence_area,product_subclass,product_id,amount,asset,sales_price,age_range,age_min,age_max,age_center
0,2016-12-26,2001-01-15,01786439  ,G,H,110109,4710043552065,1,144,190,50-54,50.0,54.0,52.0
1,2016-12-26,2001-01-15,00098946  ,E,E,100312,4710543111014,1,32,38,40-44,40.0,44.0,42.0
2,2016-12-26,2001-01-15,00905602  ,D,E,500206,4710114322115,1,64,79,35-39,35.0,39.0,37.0
3,2016-12-26,2001-01-15,01964295  ,E,E,530106,4713813010123,1,174,147,40-44,40.0,44.0,42.0
4,2016-12-26,2001-01-15,02146553  ,B,D,100217,8801019421013,1,47,52,25-29,25.0,29.0,27.0
5,2016-12-26,2001-01-15,01689983  ,B,F,500307,4901422038939,1,110,159,25-29,25.0,29.0,27.0
6,2016-12-26,2001-01-15,01660289  ,D,C,760512,4714800272258,1,33,49,35-39,35.0,39.0,37.0
7,2016-12-26,2001-01-15,01574203  ,G,E,120103,4710011409056,1,23,28,50-54,50.0,54.0,52.0
8,2016-12-26,2001-01-15,01297232  ,E,F,100322,4710174053691,1,242,269,40-44,40.0,44.0,42.0
9,2016-12-26,2001-01-15,01095661  ,C,E,100311,8804108010105,1,51,69,30-34,30.0,34.0,32.0
10,2016-12-26,2001-01-15,02129600  ,G,H,100201,4712494220784,1,61,78,50-54,50.0,54.0,52.0
11,2016-12-26,2001-01-15,02171777  ,D,H,300716,0010742201412,1,63,79,35-39,35.0,39.0,37.0
12,2016-12-26,2001-01-15,01753394  ,E,E,300408,20072605     ,1,27,40,40-44,40.0,44.0,42.0
13,2016-12-26,2001-01-15,02024783  ,C,E,100440,4710160001033,1,84,99,30-34,30.0,34.0,32.0
14,2016-12-26,2001-01-15,01666410  ,I,E,530112,4715890102432,1,39,49,60-64,60.0,64.0,62.0
15,2016-12-26,2001-01-15,01648850  ,D,F,530105,4710363723008,1,40,52,35-39,35.0,39.0,37.0
16,2016-12-26,2001-01-15,00905602  ,D,E,120103,4710697561048,1,64,75,35-39,35.0,39.0,37.0
17,2016-12-26,2001-01-15,01907209  ,I,E,120103,4710572001232,1,21,26,60-64,60.0,64.0,62.0
18,2016-12-26,2001-01-15,01589917  ,D,G,500803,9300603830020,1,34,38,35-39,35.0,39.0,37.0
19,2016-12-26,2001-01-15,01332292  ,E,F,500202,4710908111116,1,94,80,40-44,40.0,44.0,42.0
20,2016-12-26,2001-01-15,00915397  ,D,E,100503,4710105017129,1,31,42,35-39,35.0,39.0,37.0
21,2016-12-26,2001-01-14,01262131  ,D,F,500518,20432911     ,1,50,46,35-39,35.0,39.0,37.0
22,2016-12-26,2001-01-16,01899887  ,G,B,100418,4710094004810,1,142,176,50-54,50.0,54.0,52.0
23,2016-12-26,2001-01-15,01539042  ,E,E,760220,2100047005131,1,55,75,40-44,40.0,44.0,42.0
24,2016-12-26,2001-01-15,01311297  ,G,E,510114,20561574     ,1,285,399,50-54,50.0,54.0,52.0
25,2016-12-26,2001-01-15,00701532  ,G,E,530601,4710363535007,1,181,265,50-54,50.0,54.0,52.0
